instance,speed_factor,driver,success,reached,collided,steps,replans,comp_time,collision_checks,path_length
7,1.5,APF reactive,1,1,0,118,0,0.01277,354,82.6
7,1.5,RRT* plan once,0,0,1,67,0,0.03986,6401,46.9
7,1.5,RRT* replan,0,1,1,137,12,0.42826,69717,95.9
7,1.5,Modified plan once,0,0,1,66,0,0.0122,342,46.2
7,1.5,Modified replan,0,0,1,70,10,0.71266,53241,49.0
8,0.5,APF reactive,1,1,0,114,0,0.01237,342,79.8
8,0.5,RRT* plan once,1,1,0,115,0,0.04657,7807,80.5
8,0.5,RRT* replan,1,1,0,136,1,0.07196,11697,95.2
8,0.5,Modified plan once,1,1,0,114,0,0.01186,342,79.8
8,0.5,Modified replan,1,1,0,114,1,0.0184,519,79.8
8,1.0,APF reactive,1,1,0,115,0,0.01221,345,80.5
8,1.0,RRT* plan once,0,0,1,45,0,0.04862,7807,31.5
8,1.0,RRT* replan,1,1,0,120,2,0.08962,14611,84.0
8,1.0,Modified plan once,0,0,1,66,0,0.01188,342,46.2
8,1.0,Modified replan,0,1,1,114,6,0.09636,5402,79.8
8,1.5,APF reactive,0,0,1,69,0,0.00772,207,48.3
8,1.5,RRT* plan once,0,0,1,52,0,0.04618,7807,36.4
8,1.5,RRT* replan,0,0,1,73,6,0.40561,42319,51.1
8,1.5,Modified plan once,0,0,1,66,0,0.01186,342,46.2
8,1.5,Modified replan,0,0,1,69,9,0.69703,42599,48.3
9,0.5,APF reactive,1,1,0,115,0,0.01204,345,80.5
9,0.5,RRT* plan once,1,1,0,115,0,0.04644,7896,80.5
9,0.5,RRT* replan,0,1,1,125,3,0.13963,22931,87.5
9,0.5,Modified plan once,0,0,1,64,0,0.01185,342,44.8
9,0.5,Modified replan,1,1,0,114,3,0.03298,889,79.8
9,1.0,APF reactive,1,1,0,114,0,0.01198,342,79.8
9,1.0,RRT* plan once,0,0,1,59,0,0.04659,7896,41.3
9,1.0,RRT* replan,1,1,0,119,1,0.08235,13928,83.3
9,1.0,Modified plan once,1,1,0,114,0,0.01183,342,79.8
9,1.0,Modified replan,1,1,0,114,4,0.06893,2552,79.8
9,1.5,APF reactive,1,1,0,116,0,0.01215,348,81.2
9,1.5,RRT* plan once,1,1,0,115,0,0.04658,7896,80.5
9,1.5,RRT* replan,0,1,1,125,8,0.24378,42016,87.5
9,1.5,Modified plan once,0,0,1,59,0,0.01182,342,41.3
9,1.5,Modified replan,0,1,1,114,7,0.09749,5033,79.8
