scenario,algorithm,instance,repeat,success,path_length,astar_length,length_ratio,comp_time,smoothness,curvature,max_curvature,clearance_min,clearance_mean,total_turning,sharp_turns,radius_violated,drive_time_curved,switches,false_alarm,time_to_detection,collision_checks
dense_city,Bezier,24,0,1,148.603,147.255,1.0092,13.68639,0.0728,0.0801,1.6368,1.517,2.721,11.9002,11,1,31.7345,1,nan,nan,763835
dense_city,BSpline,24,0,1,154.978,147.255,1.0524,0.49708,0.0525,0.0574,1.1473,1.517,3.105,8.901,7,1,29.2388,1,nan,nan,28112
dense_city,Dubins,24,0,1,152.199,147.255,1.0336,0.67191,0.0827,0.0785,1.4265,1.517,2.812,11.9516,10,1,32.5666,1,nan,nan,38778
dense_city,APF,25,0,0,15.4,147.154,0.1047,0.0142,0.0115,0.0494,0.548,1.517,2.153,0.7606,1,1,2.8507,0,nan,nan,69
dense_city,RRT*,25,0,1,152.453,147.154,1.036,1.96688,0.1404,0.055,1.2405,2.615,3.382,8.3784,8,1,28.2506,0,nan,nan,116100
dense_city,RRT*+Bezier,25,0,1,152.453,147.154,1.036,1.98073,0.1404,0.055,1.2405,2.615,3.382,8.3784,8,1,28.2506,0,nan,nan,116125
dense_city,Hybrid,25,0,1,148.682,147.154,1.0104,4.25343,0.0905,0.0765,1.3566,1.517,2.582,11.37,10,1,30.6096,1,nan,nan,224892
dense_city,Modified,25,0,1,152.229,147.154,1.0345,1.25233,0.0829,0.0872,1.4665,1.517,2.502,13.2748,12,1,33.966,1,nan,nan,73059
dense_city,Adaptive,25,0,1,151.44,147.154,1.0291,0.85687,0.0945,0.0804,1.4011,1.517,2.658,12.172,10,1,31.7668,1,nan,nan,51826
dense_city,Bezier,25,0,1,156.865,147.154,1.066,0.51233,0.0627,0.0666,1.5107,1.517,2.628,10.4421,7,1,30.5441,1,nan,nan,29910
dense_city,BSpline,25,0,1,156.831,147.154,1.0658,0.62983,0.0666,0.0707,1.6146,1.517,2.556,11.0892,6,1,31.4941,1,nan,nan,37509
dense_city,Dubins,25,0,1,153.371,147.154,1.0422,3.87226,0.092,0.0848,1.4218,1.517,2.654,13.0033,11,1,34.0605,1,nan,nan,218260
dense_city,APF,26,0,0,15.4,150.184,0.1025,0.01263,0.0115,0.0494,0.548,1.542,2.16,0.7606,1,1,2.8507,0,nan,nan,68
dense_city,RRT*,26,0,1,154.712,150.184,1.0302,1.38068,0.1161,0.0448,1.341,1.68,3.666,6.9326,7,1,27.0161,0,nan,nan,81890
dense_city,RRT*+Bezier,26,0,1,154.712,150.184,1.0302,1.38522,0.1161,0.0448,1.341,1.68,3.666,6.9326,7,1,27.0161,0,nan,nan,81917
dense_city,Hybrid,26,0,1,158.861,150.184,1.0578,0.32802,0.0618,0.0488,1.1593,1.542,2.607,7.7599,5,1,28.0543,1,nan,nan,19855
dense_city,Modified,26,0,1,154.37,150.184,1.0279,0.38184,0.0642,0.0679,1.5609,1.542,2.616,10.4884,10,1,31.4431,1,nan,nan,21539
dense_city,Adaptive,26,0,1,154.941,150.184,1.0317,0.38159,0.0938,0.0761,1.3528,1.542,2.666,11.7907,12,1,32.4798,1,nan,nan,22108
dense_city,Bezier,26,0,1,156.11,150.184,1.0395,2.08234,0.0495,0.0508,1.4631,1.542,2.643,7.934,7,1,28.2928,1,nan,nan,116658
dense_city,BSpline,26,0,1,151.263,150.184,1.0072,1.56161,0.0646,0.0711,1.3454,1.542,2.676,10.7551,8,1,30.9035,1,nan,nan,89679
dense_city,Dubins,26,0,1,156.268,150.184,1.0405,1.57498,0.0858,0.0794,1.6469,1.542,2.825,12.4026,10,1,32.3331,1,nan,nan,89804
dense_city,APF,27,0,0,35.7,152.527,0.2341,0.01578,0.0806,0.3548,1.2384,1.62,2.328,12.668,15,1,13.6405,0,nan,nan,155
dense_city,RRT*,27,0,1,159.677,152.527,1.0469,1.12838,0.1055,0.0436,1.3099,1.91,3.94,6.9584,6,1,27.8113,0,nan,nan,66399
dense_city,RRT*+Bezier,27,0,1,159.677,152.527,1.0469,1.14115,0.1055,0.0436,1.3099,1.91,3.94,6.9584,6,1,27.8113,0,nan,nan,66429
