scenario,algorithm,instance,repeat,success,path_length,astar_length,length_ratio,comp_time,smoothness,curvature,max_curvature,clearance_min,clearance_mean,total_turning,sharp_turns,radius_violated,drive_time_curved,switches,false_alarm,time_to_detection,collision_checks,planner,parameter,value
normal_city,APF,0,0,1,170.1,139.64,1.2181,0.0362,0.2386,1.0666,1.9346,2.026,3.329,181.4307,122,1,71.3916,0,0.0,,729,APF,apf_rho0,4.5
normal_city,APF,1,0,1,178.5,143.154,1.2469,0.04044,0.2672,1.1943,3.4409,1.95,3.987,213.1863,126,1,69.1512,0,0.0,,765,APF,apf_rho0,4.5
normal_city,APF,2,0,0,2800.0,143.154,19.5593,0.52064,0.9577,4.2971,10.472,1.867,2.692,12031.7413,3892,1,1697.7077,0,0.0,,12000,APF,apf_rho0,4.5
normal_city,APF,3,0,1,182.0,140.811,1.2925,0.04123,0.2762,1.2349,4.062,1.949,2.992,224.7468,139,1,79.6868,0,0.0,,780,APF,apf_rho0,4.5
normal_city,APF,4,0,1,188.3,141.983,1.3262,0.04121,0.29,1.2968,4.3889,1.912,3.369,244.1842,140,1,78.3,0,0.0,,807,APF,apf_rho0,4.5
normal_city,APF,5,0,1,177.8,141.397,1.2575,0.03569,0.2665,1.1911,3.1425,1.948,3.86,211.7823,132,1,69.3802,0,0.0,,762,APF,apf_rho0,4.5
normal_city,APF,6,0,1,179.2,143.154,1.2518,0.03876,0.2751,1.23,2.801,1.961,3.263,220.4173,138,1,74.6344,0,0.0,,768,APF,apf_rho0,4.5
normal_city,APF,7,0,1,175.7,141.983,1.2375,0.04186,0.2494,1.1146,2.711,1.947,3.045,195.8398,130,1,71.4618,0,0.0,,753,APF,apf_rho0,4.5
normal_city,APF,8,0,0,2800.0,141.397,19.8024,0.51101,0.6957,3.1217,8.1828,1.981,2.469,8740.8142,3814,1,2211.4863,0,0.0,,12000,APF,apf_rho0,4.5
normal_city,APF,9,0,1,176.4,140.811,1.2527,0.04119,0.2493,1.1143,2.5338,1.97,2.991,196.5594,124,1,70.9818,0,0.0,,756,APF,apf_rho0,4.5
normal_city,APF,10,0,1,177.8,141.983,1.2523,0.04286,0.252,1.1265,2.7993,1.986,3.057,200.2854,132,1,75.2201,0,0.0,,762,APF,apf_rho0,4.5
normal_city,APF,11,0,1,176.4,140.811,1.2527,0.03699,0.2618,1.1702,3.3483,1.926,3.808,206.4291,127,1,68.2123,0,0.0,,756,APF,apf_rho0,4.5
normal_city,APF,12,0,0,14.0,140.811,0.0994,0.01229,0.0816,0.3481,0.6952,1.998,3.463,4.8734,5,1,4.8871,0,0.0,,63,APF,apf_rho0,4.5
normal_city,APF,13,0,0,2800.0,141.983,19.7207,0.53227,0.8472,3.8012,9.8295,1.978,2.318,10643.2671,3939,1,1870.1756,0,0.0,,12000,APF,apf_rho0,4.5
normal_city,APF,14,0,1,181.3,140.811,1.2875,0.04433,0.271,1.2117,3.1439,1.955,3.059,219.6757,131,1,76.9323,0,0.0,,777,APF,apf_rho0,4.5
normal_city,APF,15,0,0,60.2,140.811,0.4275,0.01927,0.1557,0.6907,2.9197,2.026,2.917,41.5783,35,1,23.7964,0,0.0,,261,APF,apf_rho0,4.5
normal_city,APF,16,0,1,173.6,140.811,1.2329,0.04295,0.241,1.0771,2.1566,2.012,3.026,186.9784,130,1,74.6277,0,0.0,,744,APF,apf_rho0,4.5
normal_city,APF,17,0,1,175.0,142.569,1.2275,0.03713,0.2464,1.1014,2.5043,1.987,3.146,192.7391,126,1,70.786,0,0.0,,750,APF,apf_rho0,4.5
