scenario,algorithm,instance,success,path_length,length_ratio,curvature,max_curvature,drive_time_curved,comp_time,parameter,value
normal_city,RRT*,19,1,155.419,1.0781,0.03,0.8064,25.0646,0.18132,goal,0
normal_city,RRT*+Bezier,19,1,155.419,1.0781,0.03,0.8064,25.0646,0.18797,goal,0
normal_city,Hybrid,19,1,160.725,1.1149,0.5764,3.5043,52.4344,0.23706,goal,0
normal_city,Modified,19,1,149.299,1.0357,0.2398,1.347,37.7082,0.19258,goal,0
blocked_road,APF,0,0,2800.0,18.6651,3.6528,8.693,1908.6159,0.50362,goal,0
blocked_road,RRT*,0,1,152.712,1.018,0.0475,1.0155,27.963,0.95081,goal,0
blocked_road,RRT*+Bezier,0,1,152.712,1.018,0.0475,1.0155,27.963,0.982,goal,0
blocked_road,Hybrid,0,1,210.846,1.4055,0.5445,3.5301,62.8386,0.65005,goal,0
blocked_road,Modified,0,1,204.807,1.3653,0.1807,3.432,48.2098,1.10696,goal,0
blocked_road,APF,1,0,2800.0,18.8121,3.5907,9.8548,1963.936,0.51862,goal,0
blocked_road,RRT*,1,1,155.683,1.046,0.0283,1.2611,24.4925,0.90063,goal,0
blocked_road,RRT*+Bezier,1,1,155.683,1.046,0.0283,1.2611,24.4925,0.91374,goal,0
blocked_road,Hybrid,1,1,312.815,2.1017,0.3793,4.5713,83.8956,5.42721,goal,0
blocked_road,Modified,1,1,208.664,1.4019,0.1986,4.6123,51.3689,2.24385,goal,0
blocked_road,APF,2,0,45.5,0.3045,0.3324,0.7512,12.4463,0.01655,goal,0
blocked_road,RRT*,2,1,153.128,1.0248,0.0416,1.2354,26.3574,0.50256,goal,0
blocked_road,RRT*+Bezier,2,1,153.128,1.0248,0.0416,1.2354,26.3574,0.50194,goal,0
blocked_road,Hybrid,2,1,157.753,1.0557,0.1241,0.9628,32.1534,0.71934,goal,0
blocked_road,Modified,2,1,156.137,1.0449,0.0558,1.0011,27.8181,0.52386,goal,0
