instance,speed_factor,driver,success,reached,collided,steps,replans,comp_time,collision_checks,path_length
13,1.0,Modified replan,0,0,1,66,7,0.87349,52893,46.2
13,1.5,APF reactive,0,0,0,1500,0,0.21613,4500,1050.0
13,1.5,RRT* plan once,0,0,1,55,0,0.06073,8363,38.5
13,1.5,RRT* replan,1,1,0,119,4,0.18075,26760,83.3
13,1.5,Modified plan once,0,0,1,69,0,0.03968,1589,48.3
13,1.5,Modified replan,0,0,1,74,7,0.77429,50008,51.8
14,0.5,APF reactive,1,1,0,115,0,0.01377,345,80.5
14,0.5,RRT* plan once,0,0,1,54,0,0.05107,7515,37.8
14,0.5,RRT* replan,1,1,0,117,2,0.09759,14368,81.9
14,0.5,Modified plan once,1,1,0,114,0,0.01875,415,79.8
14,0.5,Modified replan,1,1,0,114,2,0.03974,878,79.8
14,1.0,APF reactive,1,1,0,129,0,0.01707,387,90.3
14,1.0,RRT* plan once,1,1,0,116,0,0.05625,7515,81.2
14,1.0,RRT* replan,0,1,1,138,11,0.47098,69364,96.6
14,1.0,Modified plan once,0,0,1,45,0,0.01855,415,31.5
14,1.0,Modified replan,0,0,1,48,5,0.72068,52000,33.6
14,1.5,APF reactive,1,1,0,124,0,0.01352,372,86.8
14,1.5,RRT* plan once,0,0,1,56,0,0.04681,7515,39.2
14,1.5,RRT* replan,0,1,1,146,16,0.68347,104540,102.2
14,1.5,Modified plan once,0,0,1,55,0,0.01755,415,38.5
14,1.5,Modified replan,0,0,1,72,8,0.75349,52919,50.4
15,0.5,APF reactive,0,0,0,1500,0,0.21113,4500,1050.0
15,0.5,RRT* plan once,1,1,0,121,0,0.04315,6465,84.7
15,0.5,RRT* replan,1,1,0,117,2,0.13238,19897,81.9
15,0.5,Modified plan once,0,0,1,74,0,0.03842,1635,51.8
15,0.5,Modified replan,1,1,0,117,3,0.06107,2330,81.9
15,1.0,APF reactive,0,0,0,1500,0,0.20225,4500,1050.0
15,1.0,RRT* plan once,0,0,1,56,0,0.04145,6465,39.2
15,1.0,RRT* replan,0,1,1,124,16,0.49696,78263,86.8
15,1.0,Modified plan once,0,0,1,70,0,0.03758,1635,49.0
15,1.0,Modified replan,0,1,1,120,11,0.16223,6155,84.0
15,1.5,APF reactive,0,0,0,1500,0,0.20359,4500,1050.0
15,1.5,RRT* plan once,1,1,0,121,0,0.04199,6465,84.7
15,1.5,RRT* replan,0,1,1,123,9,0.27017,42740,86.1
15,1.5,Modified plan once,0,0,1,77,0,0.03742,1635,53.9
15,1.5,Modified replan,0,1,1,117,9,0.11171,3502,81.9
16,0.5,APF reactive,0,0,0,1500,0,0.20306,4500,1050.0
16,0.5,RRT* plan once,0,0,1,48,0,0.02119,3417,33.6
16,0.5,RRT* replan,0,1,1,138,4,0.19877,31431,96.6
16,0.5,Modified plan once,0,0,1,66,0,0.03519,1258,46.2
16,0.5,Modified replan,1,1,0,120,1,0.0488,2266,84.0
16,1.0,APF reactive,0,0,0,1500,0,0.20536,4500,1050.0
16,1.0,RRT* plan once,0,0,1,54,0,0.02095,3417,37.8
16,1.0,RRT* replan,0,1,1,123,10,0.3239,50452,86.1
16,1.0,Modified plan once,0,0,1,78,0,0.03507,1258,54.6
16,1.0,Modified replan,1,1,0,121,5,0.12981,6304,84.7
16,1.5,APF reactive,0,0,0,1500,0,0.20316,4500,1050.0
16,1.5,RRT* plan once,0,0,1,69,0,0.02091,3417,48.3
16,1.5,RRT* replan,0,1,1,119,10,0.31359,47826,83.3
16,1.5,Modified plan once,1,1,0,133,0,0.03823,1258,93.1
16,1.5,Modified replan,0,1,1,124,9,0.47662,38766,86.8
17,0.5,APF reactive,1,1,0,115,0,0.01315,345,80.5
17,0.5,RRT* plan once,0,0,1,47,0,0.0521,7799,32.9
